name,ring,quadrant,isNew,description
MS SQL Server 2008 R2 ,red,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Database Managment System (DBMS)</br><b>Subdomain: </b>Relational</br><b>The latest available version: </b>2022
MS SQL Server 2012,red,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Database Managment System (DBMS)</br><b>Subdomain: </b>Relational</br><b>The latest available version: </b>2022
MS SQL Server 2016,yellow,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Database Managment System (DBMS)</br><b>Subdomain: </b>Relational</br><b>The latest available version: </b>2022
MS SQL Server 2017,green,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Database Managment System (DBMS)</br><b>Subdomain: </b>Relational</br><b>The latest available version: </b>2022
Oracle Database 10g,red,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Database Managment System (DBMS)</br><b>Subdomain: </b>Relational</br><b>The latest available version: </b>21c
Oracle Database 11g,red,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Database Managment System (DBMS)</br><b>Subdomain: </b>Relational</br><b>The latest available version: </b>21c
Oracle Database 12g,red,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Database Managment System (DBMS)</br><b>Subdomain: </b>Relational</br><b>The latest available version: </b>21c
Enterprise DB PostgreSQL 12,yellow,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Database Managment System (DBMS)</br><b>Subdomain: </b>Relational</br><b>The latest available version: </b>15
PostgreSQL 14.5,green,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Database Managment System (DBMS)</br><b>Subdomain: </b>Relational</br><b>The latest available version: </b>15
MySQL 8.0,green,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Database Managment System (DBMS)</br><b>Subdomain: </b>Relational</br><b>The latest available version: </b>8.0.31
MongoDB Community Edition 4.2.7,yellow,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Database Managment System (DBMS)</br><b>Subdomain: </b>Non-relational</br><b>The latest available version: </b>6.0
Always On Avalilability Group 2017,green,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Database Managment System (DBMS)</br><b>Subdomain: </b>Replication</br><b>The latest available version: </b>2022
MS Windows Server 2008 R2 ,red,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Windows</br><b>The latest available version: </b>2022
MS Windows Server 2012 R2,red,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Windows</br><b>The latest available version: </b>2022
MS Windows Server 2016,yellow,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Windows</br><b>The latest available version: </b>2022
MS Windows Server 2019,green,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Windows</br><b>The latest available version: </b>2022
MS Windows Server 2022,green,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Windows</br><b>The latest available version: </b>2022
Red Hat Enterprise Linux 5.5,red,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Linux</br><b>The latest available version: </b>9
Red Hat Enterprise Linux 6.9,yellow,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Linux</br><b>The latest available version: </b>9
Red Hat Enterprise Linux 7.x,green,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Linux</br><b>The latest available version: </b>9
CentOS 7.x,yellow,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Linux</br><b>The latest available version: </b>8.5
Oracle Linux 6,yellow,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Linux</br><b>The latest available version: </b>9
Oracle Linux 7,yellow,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Linux</br><b>The latest available version: </b>9
Oracle Linux  8,green,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Linux</br><b>The latest available version: </b>9
Alma Linux 8.6,green,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Linux</br><b>The latest available version: </b> 9
Ubuntu  ,yellow,Infrastructure and Platform,FALSE,"<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>X86 Linux</br><b>The latest available version: </b>22.10, 22.04 LTS"
AIX 7.1,yellow,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Server OS</br><b>Subdomain: </b>Unix</br><b>The latest available version: </b>7.3
IIS 7.0 ,red,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Application server</br><b>Subdomain: </b>Windows</br><b>The latest available version: </b>10.0
IIS 8.0,yellow,Infrastructure and Platform,FALSE,<b>Technology domain: </b>Application server</br><b>Subdomain: </b>Windows</br><b>The latest available version: </b>10.0
